    Filthy few, 45421
    Underground Mafia Kings, 19982
    The druid wolf pack, 43707
    Real Scum, 41499
    Precision, 42069
    The Dimmlings, 17867
    Dragon/Phoenix, 17026
    The Gang, 11782
    Hummingbirds, 46805
    Directorate, 34263
    Rapid Dominance, 12179
    The Silence, 43913
    KMA, 9234
    Earthly Cyclone, 9400
    Ministry of Mayhem II, 9353
    System Seven, 18090
    HELL FIRE, 18975
    Mikaelsons, 6965
    Mad Associates, 33774
    The Great Khans, 42000
    TomaHawk Force, 8735
    Fearless Warriors, 10835
    Falcon Hoof, 14455
    709s The Association, 43134
    Puppy Power, 13766
    TOXIC Children, 9624
    Torn Underground, 42741
    Shiba Inu, 46089
    TRW GOMO, 32063
    Royalty, 9125
    Perfect, 19417
    The War Elephant, 41775
    The ALEuminati, 13362
    FightClub, 35183
    Sons Of The Apocalypse, 35085
    boricuas-4-life, 21897
    Cabal Syndicate, 41225
    SAS - Hiring, 9528
    stolen faction, 9708
    Harumph, 8331
    FITZ FAMILY, 8918
    Introducing Anonymous, 46631
    Torn City Airways, 23678
    Advocate-recruiting, 8842
    HappY HousE, 7886
    Pirates of Torn, 39226
    Ellan Vannin, 20013
    Bud Bath, 14004
    Shun Shun Rikka, 10044
    Speed Freaks, 10067
    Korx, 8984
    Mama Bears Den, 46763
    Career Criminals, 20570
    S.A.S, 41313
    DOUBLE 7, 7917
    The Lurker's Den, 34509
    Roo's Room, 12009
    Arak Attack, 16727
    Plastic Gangstas, 17904
    Junkies, 25464
    Exalted Alliance, 36982
    SOLDIER, 9728
    TC Boot Camp, 8012
    THE FIRM, 6774
    Reaper Family, 33175
    Synthetic Kingdom Recluse, 39894
    Infamous - Relentless, 8634
    The Shark Tank, 10701
    Original Gangstas, 23514
    The Outlawz, 24321
    Raising Militias, 10461
    Acme, 17991
    Solitary Confinement, 14308
    The Sexy and Funny, 13607
    The Toxic Misfits, 43674
    Sadistic, 40357
    Phawkes Brotherhood, 14035
    Killer bee recruit, 30695
    Rusty's Ravagers, 41456
    UoE - Not for Sale, 13991
    Antichrist, 18882
    Natural Effects, 12665
    The Zulus, 38662
    TORN, 14119
    Justice of the Peace, 1251
    Peaky Blinders, 21525
    Southside Soldiers, 10940
    Italy, 12895
    Pepper Crew, 17055
    Path Of The Void, 41990
    Angels 'n' Devils, 11399
    WithinTheShadows, 16388
    Burrito Loco Bombers, 9465
    The Dark Brotherhood, 41071
    LegacyOfWar-, 16971
    Random Acts of Chillaxin, 8655
    Rogue Gangsters, 41803
    GRSHQ(Recruiting actives), 42133
    The Hive, 36938
    Snuggies 4 Druggies, 43793
    SBGi, 13542
    The Warriors, 41758
    Zero Damage, 31412
    The Unknown Quantity, 8678
    East 16th, 16420
    Project Mayhem, 8651
    Human Instinct, 46529
    High Society Inc, 40367
    no wars, 8754
    Pornstars, 15254
    TERRA, 11724
    Entourage, 13034
    IRON FIST, 10534
    Tik Tok, 8058
    bombbombbombbombbombabomb, 9829
    .Tragic.Endings., 26829
    battle stat training camp, 13227
    LEGENDARY, 10813
    Sergeant General, 8659
    Hells Mercenaries Clan, 10924
    WAR MACHINES, 18396
    Shedtown Stranglers, 8850
    Stoned Lemmings, 8899
    THE FB'S, 11092
    Penguins with Guns, 43123
    Cake Or Death, 19915
    Arsekickers, 15053
    BUTTERFLY, 11898
    Iceshard Ninjas, 40262
    BANDILA, 8827
    The bank job II, 40020
    ExCoNs, 13089
    Seven, 15547
    V War, 39580
    Violence Speed & Momentum, 44164
    sTrivE, 20454
    Diamond Elite, 20038
    IGNIS, 25855
    RAGE, 5092
    Merons Meroders, 6777
    Mehh, 12698
    ElBa, 31718
    Criminal Masterminds, 40316
    The Aggrolites, 15536
    Just For Crimes, 13245
    Shadow Hunters, 25908
    The Guys - Recruiting, 40446
    Blodigrove, 15388
    Hells Pit, 21086
    Path to Insanity, 41956
    3 RIP Dove, 32069
    Spooky Island, 24638
    Team STEGO, 8761
    Cheezy Family, 30521
    HK GUN CLUB, 20941
    Caches up URANUS, 21041
    Torn City Kings, 45592
    Timeless, 8278
    NEC, 45595
    Acid Rain Boot Camp, 7291
    Earth Dimension C-137, 38462
    Self Made, 14587
    Golden Horde, 9988
    Gauthier, 22479
    D' Nuke Activator, 8904
    KN-Boosted, 38097
    The Conjuring, 35289
    -lost for humanity -, 13217
    Enlightened Souls......, 9223
    NT's Stupid idea, 8001
    Licentia Proeliator, 12112
    My bankkk, 37108
    UB 2.0, 8227
    Gascoigne Fish Boys, 36690
    merits faction, 14685
    Soul Survivors, 37606
    Mariachi's, 34257
    worm, 33999
    Freedom Factory, 42430
    Murder Inc., 37327
    The Aussie, 8063
    Krusty Demons (Rcruiting), 8315
    The Chang Gang, 1134
    KINGDOM OF TYRANT_GANG, 28889
    Banco, 14037
    Angels of Darkness, 12569
    Capacity X, 45465
    Easing the Badger, 46166
    .Valhalla., 20735
    T0rnHub, 14276
    Skillers, 36451
    Heavens Gate, 15940
    Inferno2, 8689
    Plata 0 War, 36421
    Jihadi Nation, 9362
    BLUEBIRD'S, 15448
    Man Up, 37402
    BrothaWithAFortyFive, 22559
    P X, 9443
    Lancia C. Fabbrica, 19354
    Druggies in Caches, 41291
    Simulation, 15239
    La Guerilla, 787
    Chaotic, 33725
    The United Nations, 12213
    A.R.Y.A.N.S, 9384
    DeZZuB, 11360
    Pulse of the Maggots, 35592
    Pull The Bully, 43505
    Tom Brady is a cheat, 20035
    Sesame Street G's, 17110
    The Ghosts, 22814
    The Peacefull Destroyers, 10225
     N/A, 14375
    Panda's Magic Kingdom, 24856
    Styx, 7545
    KUBARK, 12369
    Dopeheads on Caches, 37570
    Unkindness, 22282
    Dragoon Empire, 39781
    mayhem at training, 32754
    EXIT13, 10636
    Druggies On Mopeds, 45046
    Jedi Country Club, 46147
    Peace, 20289
    Para olympics, 22353
    Free Range Syndicate, 41259
    OnlyMe, 32200
    Naraka, 26118
    Karma crusaders, 46243
    TROJANZ, 7171
    Children of the Damned, 11465
    Chocolate Hamster, 8851
    Insanity Pandemic, 25586
    Spork, 20202
    Born in Ashes, 43571
    Our_Gang, 9768
    illusion, 18518
    Torn City Fire, 10310
    Sugar Rush - Recruiting, 34957
    Kriminelt Test Hus, 33780
    Order of the Old Farts, 10777
    Fallen Angels, 9231
    ADHD - War & Peace, 20829
    Wartopia, 47727
    Automaton Machinations, 14500
    -BC-Shockers, 8301
    Signs of Life, 21505
    tornation, 23995
    Memento Mori, 44579
    _DEADLY_, 21350
    Salihli, 15307
    The Origin, 21703
    Global Intell Center, 20459
    New age Templars, 42487
    Closer to the edge., 24977
    Sarang Penyamun, 33470
    The Elites, 36235
    Genesis, 8793
    Great Eagle, 13278
    Outlaw Money, 41925
    The Last Legion, 34336
    For-Sale, 2288
    Tha Dog Pound, 23344
    M.Y.O.B, 22531
    Yakuza, 11064
    Exogenesis, 17058
    The Burrow, 9024
    Thenamelesselements, 37044
    The Commission, 28477
    The Devils Revolution, 9700
    Rockys, 35584
    godfather, 29109
    Druggies On Caches, 6557
    The Thieves Guild, 9026
    Sunnyvale Trailer Park, 29116
    Outbreak, 42757
    Las Noches Espadas, 15317
    Unicorn farts, 14619
    6th Street Syndicate, 19002
    Twizted, 19048
    Waste, 8791
    M.O.B., 10749
    The Republic, 39863
    Universal, 8669
    Dungeons and Dragons, 15789
    Roaring Lions, 14592
    Pendekar Laut Legacy, 10290
    Moustache Riders, 6613
    Torn Bear Cave, 24390
    The Mighty Templars, 13795
    Jedi Ninjas, 11879
    Pax, 10449
    Shangri La, 10314
    -REVOLUCiON-, 9351
    -Hive-, 6814
    GhanaKillers, 37295
    LondonElite, 32914
    NATO, 17247
    Thunder Romania, 16303
    Devil's Third, 21340
    Phawkes, 19322
    The Faceless Ones, 39779
    Legio X Equestris, 37190
    GangBang, 14139
    Mogilevich Group, 24567
    Silent Roses, 39909
    Faction1, 25364
    Tactical Warfare., 8289
    Mafia Crew, 13974
    ILLUMINATI INITIATION, 15032
    The Cut - Recruiting, 47314
    Neon Knights, 22156
    new leder, 12544
    FullNightAttack, 40334
    The Clerics, 36091
    Resolutions, 37587
    The Low Lands, 12031
    Mythic Dawn, 13403
    Aegis, 13603
    stana vesela, 11108
    ChuckTown Bound -Recr, 16963
    Suntzu-(Recruiting), 18512
    qwerty, 31346
    ULTIMATE KINGS, 9338
    c0ws, 36177
    No Name Yet, 6689
    MultiFredded, 41078
    Rise, 41123
    Primus Inter Pares, 35372
    Legend, 22292
    BASH!, 22379
    only, 36241
    Elite Guns, 29056
    SteelBacks, 22735
    Raiden, 9418
    Mayham, 8565
    Twisted Psychosis, 13598
    C.H.R, 34982
    007, 32692
    EVH, 31228
    Wacko Heads, 32341
    El Mafioso, 40159
    Nightmare, 22669
    1st Marine Tank Batt, 22449
    Jajanken, 41975
    Rising Citizens, 47226
    Flying Hellfish, 9054
    G.S.S, 35043
    Carrier's, 22230
    MISSING PERSON, 8894
    Lunar Airways #1, 45058
    Veghards minions, 10567
